State,TCC,Cured,Death,Lat,Long
Andaman and Nicobar Islands,11,10,0,12.60282168,92.82884691
Andhra Pradesh,534,20,14,14.53715569,78.76163176
Arunachal Pradesh,1,0,0,28.3976082,94.47897848
Assam,33,5,1,26.35474506,92.82565518
Bihar,74,29,1,25.67946219,85.60994613
Chandigarh,21,7,0,30.7293496,76.78050401
Chhattisgarh,33,17,0,21.8396939,82.32030589
Delhi,1578,42,32,28.64339282,77.11549315
Goa,7,5,0,15.36376518,74.05398475
Gujarat,871,64,36,22.69951291,71.57241621
Haryana,205,43,3,29.19815761,76.3402098
Himachal Pradesh,35,16,1,31.9260985,77.24459482
Jammu and Kashmir,300,36,4,33.64510274,74.8584221
Jharkhand,28,0,2,23.65625986,85.56411439
Karnataka,315,82,13,14.71027044,76.16741709
Kerala,388,218,3,10.4506785,76.40849515
Ladakh,17,10,0,34.92350039,76.42817119
Madhya Pradesh,1120,64,53,23.53819474,78.28903302
Maharashtra,2919,295,187,19.45145615,76.10768272
Manipur,2,1,0,24.73496138,93.87865656
Meghalaya,7,0,1,25.545394,91.21458
Mizoram,1,0,0,23.30771252,92.83175829
Odisha,60,18,1,20.51390375,84.43031291
Puducherry,7,1,0,11.91550815,79.76717076
Punjab,186,27,13,30.84248467,75.41537706
Rajasthan,1023,147,3,26.5844383,73.84973114
Tamil Nadu,1242,118,14,11.01449057,78.41070591
Telengana,698,120,18,17.80078703,79.00841253
Tripura,2,1,0,23.74493609,91.73919362
Uttarakhand,37,9,0,26.92330909,80.5661609
Uttar Pradesh,773,68,13,30.1565025,79.20670524
West Bengal,231,42,7,23.14758069,87.84693075
